discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,6.907274019999932,None,space,0.649284064999847,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.3458481339998798,16,1,You got it!,1,32,32,,,,,,,,,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.406092532999992,None,12.406092532999992,None,12.406092532999992,None,space,0.6017831529998148,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
1,0,1,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.16457608599966989,18,1,You got it!,1,18,50,,,,,,,,,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.436094543999843,None,15.436094543999843,None,15.436094543999843,None,space,0.13968170299995109,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
2,0,2,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.28283815499980847,16,1,You got it!,1,32,82,,,,,,,,,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1366776079999,None,18.1366776079999,None,18.1366776079999,None,space,1.039721469000142,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
3,0,3,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.14719934699996884,18,1,You got it!,1,18,100,,,,,,,,,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.603779764999672,None,21.603779764999672,None,21.603779764999672,None,space,0.6057359520000318,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.41408838400002423,16,1,You got it!,1,32,132,,,,,,,,,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.90308974899972,None,24.90308974899972,None,24.90308974899972,None,space,0.5079338890000145,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
5,0,5,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.4665526779999709,17,1,You got it!,1,17,149,,,,,,,,,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.13936052500003,None,28.13936052500003,None,28.13936052500003,None,space,0.6726839259999906,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
6,0,6,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.31451435500002844,16,1,You did not get it!,1,32,149,,,,,,,,,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
6,0,6,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,31.378454065999904,None,31.378454065999904,None,31.378454065999904,None,space,0.7844956290000482,space,8.744803466000121,32.186662523999985,None,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
7,0,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
7,0,7,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1401,discounting_block,2020.2.10,59.754627422279476,
