discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.101174444999742,None,space,36.205932384000334,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1504,discounting_block,2020.2.10,60.132203535807015,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,62.44261672199991,None,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1504,discounting_block,2020.2.10,60.132203535807015,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1504,discounting_block,2020.2.10,60.132203535807015,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,66.55631870300022,None,space,17.255252787000245,,,,,,,,,,,,,,,,,,001,2021_мар_06_1504,discounting_block,2020.2.10,60.132203535807015,
0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,11.175097225000172,16,3,You got it!,3,32,32,,,,,,,,,,001,2021_мар_06_1504,discounting_block,2020.2.10,60.132203535807015,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.24864203000016,None,99.24864203000016,None,99.24864203000016,None,space,1.2185015960003511,,001,2021_мар_06_1504,discounting_block,2020.2.10,60.132203535807015,
1,0,1,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,2,4.6993706940002085,18,3,You did not get it!,3,32,32,,,,,,,,,,001,2021_мар_06_1504,discounting_block,2020.2.10,60.132203535807015,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.41855699200005,None,109.41855699200005,None,109.41855699200005,None,space,12.804598599000201,,001,2021_мар_06_1504,discounting_block,2020.2.10,60.132203535807015,
2,0,2,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,2.146271587999763,20,3,You got it!,3,32,64,,,,,,,,,,001,2021_мар_06_1504,discounting_block,2020.2.10,60.132203535807015,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.65109818099972,None,128.65109818099972,None,128.65109818099972,None,space,0.6904204930006017,,001,2021_мар_06_1504,discounting_block,2020.2.10,60.132203535807015,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,2.012447500000235,22,3,You got it!,1,22,0,,,,,,,,,,001,2021_мар_06_1504,discounting_block,2020.2.10,60.132203535807015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.63579655600006,None,133.63579655600006,None,133.63579655600006,None,space,2.8572953780003445,,,,,,,
