Intro_loop.thisRepN,Intro_loop.thisTrialN,Intro_loop.thisN,Intro_loop.thisIndex,welcomeImage.started,welcomeImage.stopped,slide_changer.keys,slide_changer.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.683201481006108,None,space,0.753971238998929,,001,2021_мар_01_0006,discounting_block,2020.2.10,60.547362689758344,
1,0,1,0,9.5680719850061,None,space,0.8337551920049009,,001,2021_мар_01_0006,discounting_block,2020.2.10,60.547362689758344,
2,0,2,0,10.49706177200278,None,space,0.4064557940000668,,001,2021_мар_01_0006,discounting_block,2020.2.10,60.547362689758344,
3,0,3,0,11.063192722001986,None,space,0.7071063589974074,,001,2021_мар_01_0006,discounting_block,2020.2.10,60.547362689758344,
4,0,4,0,11.864810209001007,None,space,0.6399589440043201,,001,2021_мар_01_0006,discounting_block,2020.2.10,60.547362689758344,
