discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin4.thisRepN,blockbegin4.thisTrialN,blockbegin4.thisN,blockbegin4.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin3.thisRepN,blockbegin3.thisTrialN,blockbegin3.thisN,blockbegin3.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,lan_choose.keys,lan_choose.rt,language_text.started,language_text.stopped,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_6.started,text_6.stopped,text_13.started,text_13.stopped,text_14.started,text_14.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1048273000051267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.790489199978765,None,6.961664100002963,None,space,1.1495669999858364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,1.2550846999511123,16,3,Вы получили M&Ms!,1,16,16,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6262749999878,None,11.6262749999878,None,11.6262749999878,None,space,1.060830199974589,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,1.7562397999572568,14,3,Вы не получили M&Ms!,3,32,16,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.629170700034592,None,18.629170700034592,None,18.629170700034592,None,space,1.258011500001885,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,0.8140180000336841,16,3,Вы получили M&Ms!,1,16,32,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.876270900014788,None,22.876270900014788,None,22.876270900014788,None,space,0.5949479999835603,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,1.329197800019756,14,3,Вы получили M&Ms!,1,14,0,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,26.990900200034957,None,26.990900200034957,None,26.990900200034957,None,space,0.6885782000026666,space,109.09041259996593,27.72494570002891,None,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.8519638000289,None,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
4,0,4,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.90581800002838,None,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.90939879999496,None,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
4,0,4,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
4,0,4,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.98154750000685,None,space,1.7858079000143334,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,2.4057073000003584,16,1,Вы получили M&Ms!,1,16,16,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.37104890000774,None,149.37104890000774,None,149.37104890000774,None,space,1.572288799972739,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,0.6802170000155456,14,1,Вы получили M&Ms!,1,32,48,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.80851100001018,None,153.80851100001018,None,153.80851100001018,None,space,0.5746970000327565,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,0.8820286000263877,16,1,Вы получили M&Ms!,1,16,64,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.44533830002183,None,157.44533830002183,None,157.44533830002183,None,space,0.20201180002186447,,,,,,,,,,,,,,,,001,2021_Mar_22_1839,discounting_block,2021.1.2,59.99422856015561,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6021351999952458,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
