lan_choose.keys,lan_choose.rt,lan_choose.started,lan_choose.stopped,language_text.started,language_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1.206492499972228,6.170713600004092,None,,,,001,2021_Mar_22_1701,discounting_block,2021.1.2,59.99008963156813,
,,,,6.170713600004092,None,,,,,,,
