discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin4.thisRepN,blockbegin4.thisTrialN,blockbegin4.thisN,blockbegin4.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin3.thisRepN,blockbegin3.thisTrialN,blockbegin3.thisN,blockbegin3.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,lan_choose.keys,lan_choose.rt,language_text.started,language_text.stopped,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_6.started,text_6.stopped,text_13.started,text_13.stopped,text_14.started,text_14.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.6332836000365205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1827,discounting_block,2021.1.2,59.98346856286241,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.091466600017156,None,9.788392700022087,None,space,1.0881877999636345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1827,discounting_block,2021.1.2,59.98346856286241,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,5.261299799953122,16,3,You got it!,3,32,0,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1827,discounting_block,2021.1.2,59.98346856286241,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.38828980003018,None,20.38828980003018,None,20.38828980003018,None,space,2.92041220003739,,,,,,,,,,,,,,,,001,2021_Mar_22_1827,discounting_block,2021.1.2,59.98346856286241,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,3.0249466000241227,18,3,You did not get it!,3,32,0,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1827,discounting_block,2021.1.2,59.98346856286241,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.533816300041508,None,30.533816300041508,None,30.533816300041508,None,space,4.806900899973698,,,,,,,,,,,,,,,,001,2021_Mar_22_1827,discounting_block,2021.1.2,59.98346856286241,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,3.30149069998879,20,3,You got it!,3,32,0,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1827,discounting_block,2021.1.2,59.98346856286241,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.830264100048225,None,42.830264100048225,None,42.830264100048225,None,space,2.8943633000017144,,,,,,,,,,,,,,,,001,2021_Mar_22_1827,discounting_block,2021.1.2,59.98346856286241,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,9.331668900034856,22,3,Вы получили M&Ms!,1,22,0,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1827,discounting_block,2021.1.2,59.98346856286241,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,57.2678736000089,None,57.2678736000089,None,57.2678736000089,None,space,2.7447492000064813,space,1.1831372000160627,60.07752029999392,None,,,,,,,,,,,,001,2021_Mar_22_1827,discounting_block,2021.1.2,59.98346856286241,
