Intro_loop.thisRepN,Intro_loop.thisTrialN,Intro_loop.thisN,Intro_loop.thisIndex,welcomeImage.started,welcomeImage.stopped,slide_changer.keys,slide_changer.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,3.0340216170006897,None,space,1.5026380039998912,,001,2021_фев_28_2239,discounting_block,2020.2.10,59.93285806054236,
1,0,1,0,4.608175623005081,None,space,2.978699798004527,,001,2021_фев_28_2239,discounting_block,2020.2.10,59.93285806054236,
2,0,2,0,7.6445061120030005,None,space,3.2586262640033965,,001,2021_фев_28_2239,discounting_block,2020.2.10,59.93285806054236,
3,0,3,0,10.976606445998186,None,space,3.2278892140020616,,001,2021_фев_28_2239,discounting_block,2020.2.10,59.93285806054236,
4,0,4,0,14.268341973998758,None,space,2.386615953000728,,001,2021_фев_28_2239,discounting_block,2020.2.10,59.93285806054236,
