discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcomeResp.keys,welcomeResp.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,DelayFactor,participant,session,date,expName,psychopyVersion,frameRate,
11,0,11,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.704324712000016,16,15,You got it!,1,16,240,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6224527350004792,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
12,0,12,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.1034015850000287,14,15,You did not get it!,15,32,240,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.48303233799924783,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
13,0,13,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.7553874349996477,16,15,You got it!,1,16,256,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.49491488300009223,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
14,0,14,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.7471703329993034,14,15,You got it!,15,32,288,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.098102003999884,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
15,0,15,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,4.118243762999555,16,15,You got it!,1,16,304,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.011868682999193,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
