discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9871695570000156,None,space,0.557659553999656,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3.6161264299998948,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,7.677359082000294,None,space,0.8011368039997251,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,2,1.897985200000221,16,3,You got it!,1,16,16,,,,,,,,,,,,,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.543112878000102,None,12.543112878000102,None,12.543112878000102,None,space,1.887430607999704,,,,,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1.460916358999384,14,3,You got it!,1,14,30,,,,,,,,,,,,,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.04165547299999,None,18.04165547299999,None,18.04165547299999,None,space,0.5901998529998309,,,,,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
2,0,2,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1.4606070259997068,12,3,You got it!,3,32,62,,,,,,,,,,,,,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.257357514999967,None,24.257357514999967,None,24.257357514999967,None,space,0.6091527230000793,,,,,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1.3311800390001736,14,3,You got it!,1,14,0,,,,,,,,,,,,,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,28.352478806999898,None,28.352478806999898,None,28.352478806999898,None,space,1.6324824720004472,space,16.179538557999877,30.009155800999906,None,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,46.258760964999965,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
4,0,4,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,48.322273882000445,None,space,1.7178321560004406,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1451,discounting_block,2020.2.10,59.89350898195531,
