discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,DelayFactor,participant,session,date,expName,psychopyVersion,frameRate,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.52021799800059,None,59.52021799800059,None,59.52021799800059,None,space,0.5415551529995355,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
8,0,8,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.8291095260001384,8,1,You got it!,1,8,60,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.03705308700046,None,63.03705308700046,None,63.03705308700046,None,space,0.5584524159994544,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
9,0,9,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.6310431809997681,6,1,You got it!,1,6,66,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.38702208400082,None,66.38702208400082,None,66.38702208400082,None,space,0.40943168200010405,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
10,0,10,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.6948860729999069,4,1,You got it!,1,4,70,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.63862185000016,None,69.63862185000016,None,69.63862185000016,None,space,0.4253562370004147,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
11,0,11,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,2.04503691500031,2,1,You got it!,1,32,102,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.27285116100029,None,74.27285116100029,None,74.27285116100029,None,space,0.4094164019998061,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
12,0,12,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,1.4128803049998169,4,1,You got it!,1,4,106,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.25726247900002,None,78.25726247900002,None,78.25726247900002,None,space,0.5093420869998226,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
13,0,13,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.7793134889998328,2,1,You got it!,1,32,138,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.70745002500007,None,81.70745002500007,None,81.70745002500007,None,space,0.42613214399989374,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
14,0,14,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.3456150939991858,4,1,You got it!,1,4,142,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.64088441600052,None,84.64088441600052,None,84.64088441600052,None,space,0.2935873400001583,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
15,0,15,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.3257963870000822,3,1,You did not get it!,1,32,142,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.39995890700084,None,87.39995890700084,None,87.39995890700084,None,space,0.10157672999957867,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
16,0,16,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.3620768800001315,4,1,You got it!,1,4,146,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,90.02979980500004,None,90.02979980500004,None,90.02979980500004,None,space,0.25631097399946157,space,0.8783142140000564,90.32402887700027,None,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
17,0,17,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.27168382000036,None,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
17,0,17,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
17,0,17,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.33836071900078,None,space,0.8681380479993095,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
17,0,17,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.4678845150001507,16,15,You got it!,1,16,162,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.83062289900045,None,110.83062289900045,None,110.83062289900045,None,space,0.7936570129995744,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
18,0,18,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.780796736999946,14,15,You got it!,15,32,194,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.54349908700078,None,128.54349908700078,None,128.54349908700078,None,space,0.6846818280000662,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
19,0,19,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.7146304859998054,16,15,You got it!,1,16,210,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.08659348000037,None,132.08659348000037,None,132.08659348000037,None,space,0.5762048320002577,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
20,0,20,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.9111359090002225,14,15,You got it!,15,32,242,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.74229196300075,None,150.74229196300075,None,150.74229196300075,None,space,0.7415627400005178,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
21,0,21,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.629917461000332,16,15,You got it!,1,16,258,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.27626349500042,None,154.27626349500042,None,154.27626349500042,None,space,0.9920684270000493,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
22,0,22,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.6296674759996677,15,15,You got it!,15,32,290,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.05043624000064,None,172.05043624000064,None,172.05043624000064,None,space,0.455977329000234,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
23,0,23,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.6162445769996339,16,15,You got it!,1,16,306,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,175.24899465700037,None,175.24899465700037,None,175.24899465700037,None,space,0.02418456499981403,space,1.4782402219998403,175.29501870500007,None,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
24,0,24,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.84327319600015,None,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
24,0,24,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
24,0,24,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.91349783400074,None,space,1.0676465269998516,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
24,0,24,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.3170035539997116,16,30,You got it!,1,16,322,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.43958096000006,None,211.43958096000006,None,211.43958096000006,None,space,0.558913904000292,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
25,0,25,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.9091674089995649,14,30,You got it!,30,32,354,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.07886233300087,None,244.07886233300087,None,244.07886233300087,None,space,0.5612157300001854,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
26,0,26,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.7965352250002979,16,30,You got it!,1,16,370,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.59763718900012,None,247.59763718900012,None,247.59763718900012,None,space,0.5933838179998929,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
27,0,27,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.979620850000174,14,30,You got it!,30,32,402,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.33201786300015,None,280.33201786300015,None,280.33201786300015,None,space,0.06667303199992602,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
28,0,28,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,1.4636864869999044,16,30,You got it!,1,16,418,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.02348858500045,None,284.02348858500045,None,284.02348858500045,None,space,0.8597931220001556,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
29,0,29,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.8303194130003249,15,30,You got it!,30,32,450,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.88167423100003,None,316.88167423100003,None,316.88167423100003,None,space,0.7765793970002051,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
30,0,30,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,1.3787446320002346,16,30,You got it!,1,16,466,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,321.18193731500014,None,321.18193731500014,None,321.18193731500014,None,space,0.6609512220002216,space,0.9591984630005754,321.86577441200006,None,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
31,0,31,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.86883565100015,None,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
31,0,31,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
31,0,31,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.9271571270001,None,space,2.767736495000463,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
31,0,31,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.419854339000267,16,7,You got it!,1,16,482,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.2559802330006,None,337.2559802330006,None,337.2559802330006,None,space,0.523750715999995,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
32,0,32,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.6295821530002286,14,7,You got it!,7,32,514,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.5744322190003,None,346.5744322190003,None,346.5744322190003,None,space,1.2407532689994696,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
33,0,33,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.3294660550000117,16,7,You got it!,1,16,530,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.3073014820002,None,351.3073014820002,None,351.3073014820002,None,space,0.6594927579999421,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
34,0,34,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.3780933289999666,14,7,You got it!,7,32,562,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.49323634900065,None,360.49323634900065,None,360.49323634900065,None,space,0.6759439480001674,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
35,0,35,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.5987306759998319,16,7,You got it!,1,16,578,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.9112244710004,None,363.9112244710004,None,363.9112244710004,None,space,0.591801719000614,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
36,0,36,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.8638796539999021,15,7,You got it!,7,32,610,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.51384669600066,None,373.51384669600066,None,373.51384669600066,None,space,3.7759866010001133,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
37,0,37,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,6.002144244999727,16,7,You got it!,1,16,626,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,385.41656109000087,None,385.41656109000087,None,385.41656109000087,None,space,0.592888065999432,space,2.1098040899996704,386.03229659800036,None,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9190404797601199,,,,,,,
