discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.936792858999979,None,space,0.5569773749998603,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.526331250000112,16,3,You got it!,1,16,16,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.189717630999894,None,6.189717630999894,None,6.189717630999894,None,space,0.5380991699998958,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.9127196680001362,14,3,You got it!,1,14,30,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.787681677999899,None,10.787681677999899,None,10.787681677999899,None,space,0.39120735699998477,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
2,0,2,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.4281369509999422,12,3,You got it!,1,12,42,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.752059017999727,None,13.752059017999727,None,13.752059017999727,None,space,0.4937768350000624,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.5126325579999502,10,3,You got it!,1,10,0,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,16.92311522099999,None,16.92311522099999,None,16.92311522099999,None,space,0.5738866959995903,space,1.0768236320000142,17.553387502999612,None,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.701861424999606,None,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
4,0,4,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.780039966999993,None,space,0.95131370099989,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
4,0,4,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.2846595169999091,16,1,You got it!,1,16,16,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.14672473499968,None,24.14672473499968,None,24.14672473499968,None,space,0.6509457090000978,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
5,0,5,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.588700155999959,14,1,You got it!,1,14,30,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.525010104999637,None,27.525010104999637,None,27.525010104999637,None,space,0.49068374999978914,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
6,0,6,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.4971220410002388,12,1,You did not get it!,1,32,30,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.649535300000025,None,30.649535300000025,None,30.649535300000025,None,space,0.10068175700007487,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
7,0,7,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.3620364899998094,14,1,You got it!,1,14,44,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.27524640399997,None,33.27524640399997,None,33.27524640399997,None,space,0.3422028909999426,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
8,0,8,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.44801297799995154,12,1,You got it!,1,32,76,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.20839471499994,None,36.20839471499994,None,36.20839471499994,None,space,0.34305934299982255,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
9,0,9,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.29559579200031294,14,1,You got it!,1,14,90,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.96761888999981,None,38.96761888999981,None,38.96761888999981,None,space,0.7181159760002629,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
10,0,10,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.3810420410000006,13,1,You did not get it!,1,32,90,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20202693099964,None,42.20202693099964,None,42.20202693099964,None,space,0.5678078030000506,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
11,0,11,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.4314422260003994,14,1,You got it!,1,14,104,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,45.361364606999814,None,45.361364606999814,None,45.361364606999814,None,space,0.7259287150000091,space,2.4128487350003525,46.1247371999998,None,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
12,0,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.604638368999986,None,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
12,0,12,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
12,0,12,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.67445782999994,None,space,1.0504003459996056,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
12,0,12,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,2.8030673890002618,16,15,You got it!,1,16,120,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.68445993799969,None,70.68445993799969,None,70.68445993799969,None,space,1.0089930310000454,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
13,0,13,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,2.048365131999617,14,15,You got it!,15,32,152,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.90644278299987,None,89.90644278299987,None,89.90644278299987,None,space,0.7415533799999139,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
14,0,14,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,3.5301764320001894,16,15,You got it!,1,16,168,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.34117993899963,None,96.34117993899963,None,96.34117993899963,None,space,1.5256386450000718,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
15,0,15,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.4112306750002972,14,15,You did not get it!,15,32,168,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.41985790299987,None,114.41985790299987,None,114.41985790299987,None,space,0.517639274999965,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
16,0,16,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.5965305439999611,16,15,You got it!,1,16,184,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.67935900999964,None,117.67935900999964,None,117.67935900999964,None,space,0.5593240220000553,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
17,0,17,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.7648574649997499,15,15,You got it!,15,32,216,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.15191527499974,None,135.15191527499974,None,135.15191527499974,None,space,4.708362732999831,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
18,0,18,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,14.748530661000132,16,15,You got it!,1,16,232,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,156.77217819899988,None,156.77217819899988,None,156.77217819899988,None,space,0.9591364370003248,space,1.2111517009998352,157.75333558700004,None,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
19,0,19,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0329238209997,None,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
19,0,19,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
19,0,19,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.10523784499992,None,space,1.5007729530002507,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
19,0,19,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.6364726589999918,16,30,You got it!,1,16,248,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.37268996199964,None,194.37268996199964,None,194.37268996199964,None,space,0.7681931100005386,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
20,0,20,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,5.3815320920002705,14,30,You got it!,30,32,280,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.69087123600002,None,231.69087123600002,None,231.69087123600002,None,space,0.7425528809999378,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
21,0,21,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.7477705150004113,16,30,You got it!,1,16,296,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.3425443469996,None,235.3425443469996,None,235.3425443469996,None,space,2.392289742000685,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
22,0,22,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.3464387090007222,14,30,You got it!,30,32,328,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.2530148329997,None,270.2530148329997,None,270.2530148329997,None,space,4.8069497900005445,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
23,0,23,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,5.548260771000059,16,30,You got it!,1,16,344,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.76989706099994,None,282.76989706099994,None,282.76989706099994,None,space,0.7095017380006539,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
24,0,24,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.5127983830006997,15,30,You did not get it!,30,32,344,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.13658051399943,None,316.13658051399943,None,316.13658051399943,None,space,1.1179748530003053,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
25,0,25,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.8024492319991623,16,30,You got it!,1,16,360,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,320.19725261799977,None,320.19725261799977,None,320.19725261799977,None,space,2.774909127999308,space,1.594643549000466,322.9944282389997,None,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
26,0,26,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.6564850099994,None,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
26,0,26,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
26,0,26,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.72337433400025,None,space,2.217936371000178,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
26,0,26,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,1.2712529919999724,16,7,You got it!,1,16,376,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.36701701399943,None,338.36701701399943,None,338.36701701399943,None,space,1.9928420349997396,,,,,,,,,,,,001,2021_мар_10_1424,discounting_block,2020.2.10,60.70472454681117,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.4123548879997543,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
