discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcomeResp.keys,welcomeResp.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,space,0.6489541119954083,,,,,,,,,,,,,,,,,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.4338176929959445,16,1,You got it!,1,32,32,,,,,,,,,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.054410274002294,None,9.054410274002294,None,9.054410274002294,None,space,0.09744070799933979,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,0.43132101500668796,18,1,You did not get it!,1,32,32,,,,,,,,,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.742681659998198,None,11.742681659998198,None,11.742681659998198,None,space,0.4603055719999247,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
2,0,2,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.0965569970067008,20,1,You got it!,1,32,64,,,,,,,,,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.467495737997524,None,15.467495737997524,None,15.467495737997524,None,space,0.5861566049934481,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.2181098729997757,22,1,You did not get it!,1,32,64,,,,,,,,,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.431700237997575,None,19.431700237997575,None,19.431700237997575,None,space,0.573782684004982,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.6487481390067842,24,1,You got it!,1,32,96,,,,,,,,,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.81092705899937,None,22.81092705899937,None,22.81092705899937,None,space,0.07905347699852427,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
5,0,5,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.5669850970007246,26,1,You got it!,1,32,128,,,,,,,,,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.619446882003103,None,26.619446882003103,None,26.619446882003103,None,space,0.43786866099981125,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
6,0,6,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.9641477849945659,28,1,You got it!,1,28,156,,,,,,,,,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.203708419998293,None,31.203708419998293,None,31.203708419998293,None,space,0.43949092800176004,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
7,0,7,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,0.8966247290009051,26,1,You got it!,1,32,188,,,,,,,,,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.704117218003375,None,34.704117218003375,None,34.704117218003375,None,space,0.9057865889990353,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
8,0,8,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.1612223300035112,28,1,You got it!,1,32,220,,,,,,,,,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.95575891200133,None,38.95575891200133,None,38.95575891200133,None,space,0.1727697989990702,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
9,0,9,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,5.115557120996527,30,1,You got it!,1,32,252,,,,,,,,,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.41129967300367,None,46.41129967300367,None,46.41129967300367,None,space,14.640990602005331,,001,2021_фев_22_1501,discounting_block,2020.2.10,59.73432715877331,
