discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcomeResp.keys,welcomeResp.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,69.28139898699737,None,69.28139898699737,None,69.28139898699737,None,space,3.0040986300009536,space,3.6112787559977733,72.30862222699943,None,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
11,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
11,0,11,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
11,0,11,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.8713489459987613,16,15,You got it!,15,32,32,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.27250574999925,None,110.27250574999925,None,110.27250574999925,None,space,2.7894526989985025,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
12,0,12,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,11.082303257004241,18,15,You did not get it!,15,32,32,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.42248484700394,None,140.42248484700394,None,140.42248484700394,None,space,2.396494154992979,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
13,0,13,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.3612932629985153,20,15,You got it!,1,20,52,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.48320665400388,None,146.48320665400388,None,146.48320665400388,None,space,2.219982661001268,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
14,0,14,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.2164282630037633,18,15,You got it!,1,18,70,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.2174204960029,None,152.2174204960029,None,152.2174204960029,None,space,0.4371584529944812,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
15,0,15,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.6346182659981423,16,15,You got it!,1,16,86,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.56871561000298,None,155.56871561000298,None,155.56871561000298,None,space,0.7031513490001089,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
16,0,16,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,0.9486762390006334,14,15,You got it!,1,14,100,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.5187191560035,None,159.5187191560035,None,159.5187191560035,None,space,1.4720481279946398,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
17,0,17,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,2.345080462000624,12,15,You got it!,1,12,112,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.63620269700186,None,165.63620269700186,None,165.63620269700186,None,space,0.43839657599892234,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
18,0,18,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,3.446219794997887,10,15,You got it!,15,32,144,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.82614885899966,None,185.82614885899966,None,185.82614885899966,None,space,2.319918981003866,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
19,0,19,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.6275291060010204,12,15,You did not get it!,15,32,144,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.04454597100266,None,206.04454597100266,None,206.04454597100266,None,space,1.7714188139943872,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
20,0,20,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,6.8676635150040966,14,15,You got it!,15,32,176,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.98177765300352,None,230.98177765300352,None,230.98177765300352,None,space,1.4200701619993197,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
21,0,21,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.0017964969956665,16,15,You did not get it!,15,32,176,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.67487015700317,None,249.67487015700317,None,249.67487015700317,None,space,7.598149546000059,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
22,0,22,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.381318364001345,18,15,You got it!,15,32,208,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.9402412499985,None,274.9402412499985,None,274.9402412499985,None,space,8.821150966003188,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
23,0,23,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.8607769459995325,20,15,You got it!,1,20,228,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.92463832400244,None,287.92463832400244,None,287.92463832400244,None,space,4.488646022997273,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
