discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9418920180000896,None,space,0.39418755899987445,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3.409489309000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,5.468517398000131,None,space,1.8685514599997077,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,5.231564185000025,16,1,You got it!,1,32,32,,,,,,,,,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7222588059999,None,14.7222588059999,None,14.7222588059999,None,space,1.4339903139998569,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.9484510950001095,18,1,You got it!,1,18,50,,,,,,,,,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.250469031000193,None,19.250469031000193,None,19.250469031000193,None,space,0.2067159950001951,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
2,0,2,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.32912391900026705,16,1,You got it!,1,32,82,,,,,,,,,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.932908186000077,None,21.932908186000077,None,21.932908186000077,None,space,0.49152409099997385,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
