discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.5769772670000748,18,1,You got it!,1,18,100,,,,,,,,,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.168534442000237,None,25.168534442000237,None,25.168534442000237,None,space,0.44029904700028055,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
4,0,4,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,2.8109539150000273,16,1,You got it!,1,32,132,,,,,,,,,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.569473429000027,None,30.569473429000027,None,30.569473429000027,None,space,0.623739112000294,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
5,0,5,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.5292174319997685,17,1,You got it!,1,17,149,,,,,,,,,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.88958914700015,None,33.88958914700015,None,33.88958914700015,None,space,0.4382305190001716,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
6,0,6,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.5602661349998925,16,1,You did not get it!,1,32,149,,,,,,,,,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,37.027966561000085,None,37.027966561000085,None,37.027966561000085,None,space,0.7009577799999533,space,1.9928053639996506,37.753032058999906,None,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
7,0,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,39.81522808699992,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
7,0,7,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
7,0,7,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,55.88265617500019,None,space,12.42008873199984,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1427,discounting_block,2020.2.10,60.18538881247269,
