discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcomeResp.keys,welcomeResp.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,space,0.47886402999574784,,,,,,,,,,,,,,,,,,001,2021_фев_22_1505,discounting_block,2020.2.10,60.120978318709646,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1505,discounting_block,2020.2.10,60.120978318709646,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1505,discounting_block,2020.2.10,60.120978318709646,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,3.269247099000495,16,1,You got it!,1,32,32,,,,,,,,,,001,2021_фев_22_1505,discounting_block,2020.2.10,60.120978318709646,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.44009785700473,None,11.44009785700473,None,11.44009785700473,None,space,2.504534544001217,,001,2021_фев_22_1505,discounting_block,2020.2.10,60.120978318709646,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,4.9310238899997785,18,1,You did not get it!,1,32,32,,,,,,,,,,001,2021_фев_22_1505,discounting_block,2020.2.10,60.120978318709646,
