Intro_loop.thisRepN,Intro_loop.thisTrialN,Intro_loop.thisN,Intro_loop.thisIndex,welcomeImage.started,welcomeImage.stopped,slide_changer.keys,slide_changer.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,3.825013305002358,None,space,0.920635308000783,,001,2021_фев_28_1835,discounting_block,2020.2.10,60.02394691327499,
1,0,1,0,4.7942230660009955,None,space,1.2335296540004492,,001,2021_фев_28_1835,discounting_block,2020.2.10,60.02394691327499,
