Intro_loop.thisRepN,Intro_loop.thisTrialN,Intro_loop.thisN,Intro_loop.thisIndex,welcomeImage.started,welcomeImage.stopped,slide_changer.keys,slide_changer.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.342712990997825,None,space,0.40369398400071077,,001,2021_мар_01_0017,discounting_block,2020.2.10,59.997880274115566,
1,0,1,0,5.878023784003744,None,space,0.2840471349991276,,001,2021_мар_01_0017,discounting_block,2020.2.10,59.997880274115566,
2,0,2,0,6.24980884300021,None,space,0.27878200900158845,,001,2021_мар_01_0017,discounting_block,2020.2.10,59.997880274115566,
3,0,3,0,6.670288059998711,None,space,0.22599503099627327,,001,2021_мар_01_0017,discounting_block,2020.2.10,59.997880274115566,
4,0,4,0,6.987379774000146,None,space,0.32514777799951844,,001,2021_мар_01_0017,discounting_block,2020.2.10,59.997880274115566,
