lan_choose.keys,lan_choose.rt,language_text.started,language_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1.0403950999607332,,,,001,2021_Mar_22_1737,discounting_block,2021.1.2,59.985879328216754,
,,6.264276100031566,None,,,,,,,
