discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin4.thisRepN,blockbegin4.thisTrialN,blockbegin4.thisN,blockbegin4.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin3.thisRepN,blockbegin3.thisTrialN,blockbegin3.thisN,blockbegin3.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,lan_choose.keys,lan_choose.rt,language_text.started,language_text.stopped,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_6.started,text_6.stopped,text_13.started,text_13.stopped,text_14.started,text_14.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.921352899982594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33428609999828,None,8.324412600020878,None,space,1.0514031000202522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,3.188996999990195,16,3,Вы получили M&Ms!,3,32,32,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.829368800041266,None,16.829368800041266,None,16.829368800041266,None,space,1.7144384999992326,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,1.7395202999468893,18,3,Вы получили M&Ms!,1,18,50,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.45289720001165,None,22.45289720001165,None,22.45289720001165,None,space,0.6189407000201754,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,1.8327627000398934,16,3,Вы получили M&Ms!,1,16,66,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.099325800023507,None,27.099325800023507,None,27.099325800023507,None,space,0.5963660000124946,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,1.8849254000233486,14,3,Вы не получили M&Ms!,3,32,0,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,33.78697940002894,None,33.78697940002894,None,33.78697940002894,None,space,1.844683300005272,space,7.118134299991652,35.69744330004323,None,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.85968900000444,None,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
4,0,4,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.918873900023755,None,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.93374190002214,None,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
4,0,4,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
4,0,4,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00224810000509,None,space,3.8616783000179566,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,2.2285888000042178,16,1,Вы получили M&Ms!,1,16,16,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.27689770003781,None,57.27689770003781,None,57.27689770003781,None,space,1.0268325999495573,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,1.6919873000006191,14,1,Вы получили M&Ms!,1,14,30,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
