Intro_loop.thisRepN,Intro_loop.thisTrialN,Intro_loop.thisN,Intro_loop.thisIndex,welcomeImage.started,welcomeImage.stopped,slide_changer.keys,slide_changer.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,3.0217351840001356,None,space,0.7037284660000296,,001,2021_фев_28_1826,discounting_block,2020.2.10,59.86607778847765,
1,0,1,0,3.7775791569983994,None,space,1.6489273110018985,,001,2021_фев_28_1826,discounting_block,2020.2.10,59.86607778847765,
2,0,2,0,5.4717550319983275,None,q,1.1919207729988557,,001,2021_фев_28_1826,discounting_block,2020.2.10,59.86607778847765,
