discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2088071509997462,None,space,0.8879755809998642,,,,,,,,,,,,,,,,,,001,2021_мар_08_1256,discounting_block,2020.2.10,59.68709422842027,
0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,2.47956442900022,16,3,You got it!,3,32,32,,,,,,,,,,001,2021_мар_08_1256,discounting_block,2020.2.10,59.68709422842027,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.746073973999955,None,10.746073973999955,None,10.746073973999955,None,space,4.15366261500003,,001,2021_мар_08_1256,discounting_block,2020.2.10,59.68709422842027,
1,0,1,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,5.146500475000266,18,3,You did not get it!,3,32,32,,,,,,,,,,001,2021_мар_08_1256,discounting_block,2020.2.10,59.68709422842027,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.18474183399985,None,24.18474183399985,None,24.18474183399985,None,space,0.9345774220000749,,001,2021_мар_08_1256,discounting_block,2020.2.10,59.68709422842027,
2,0,2,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,1.1251620729999559,20,3,You got it!,1,20,52,,,,,,,,,,001,2021_мар_08_1256,discounting_block,2020.2.10,59.68709422842027,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.395499425999787,None,28.395499425999787,None,28.395499425999787,None,space,1.0916484760000458,,001,2021_мар_08_1256,discounting_block,2020.2.10,59.68709422842027,
3,0,3,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,1.1303700870003013,18,3,You did not get it!,3,32,0,,,,,,,,,,001,2021_мар_08_1256,discounting_block,2020.2.10,59.68709422842027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.76474521399996,None,34.76474521399996,None,34.76474521399996,None,space,2.3576513910002177,,,,,,,
