lan_choose.keys,lan_choose.rt,language_text.started,language_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,3.614097700046841,,,,001,2021_Mar_22_1704,discounting_block,2021.1.2,59.97256855469997,
,,6.433599499985576,None,,,,,,,
