lan_choose.keys,lan_choose.rt,language_text.started,language_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,3.14997750002658,,,,001,2021_Mar_22_1735,discounting_block,2021.1.2,60.10594272967426,
,,6.778629999957047,None,,,,,,,
