discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,welcomeResp.keys,welcomeResp.rt,welcome_text_2.started,welcome_text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,onesecond.started,onesecond.stopped,seven_second.started,seven_second.stopped,choiceResp.keys,choiceResp.rt,small_reward,Delay,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,2.8051126820009813,,,,,,,,,,,,,,,,001,2021_фев_25_1157,discounting_block,2020.2.10,59.8394293879187,
,,,,,,,,,,,,,,13.853779502998805,None,space,14.189460477000466,15.85400525499972,None,,,,,,,,,,001,2021_фев_25_1157,discounting_block,2020.2.10,59.8394293879187,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,5.868074115000127,6.868076134998773,6.855309299999135,13.870296189999863,,,,,,001,2021_фев_25_1157,discounting_block,2020.2.10,59.8394293879187,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,001,2021_фев_25_1157,discounting_block,2020.2.10,59.8394293879187,
,,,,,,,,,,,,,,,,,,,,,,,,1,16.75765746199977,16,1,,,,,,,
