discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin4.thisRepN,blockbegin4.thisTrialN,blockbegin4.thisN,blockbegin4.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin3.thisRepN,blockbegin3.thisTrialN,blockbegin3.thisN,blockbegin3.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,lan_choose.keys,lan_choose.rt,lan_choose.started,lan_choose.stopped,language_text.started,language_text.stopped,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,2,1.9121515000006184,6.463349000026938,None,,,,,,,,001,2021_Mar_22_1659,discounting_block,2021.1.2,59.978647592482915,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.463349000026938,None,8.405984800017904,None,space,5.297571200004313,,001,2021_Mar_22_1659,discounting_block,2021.1.2,59.978647592482915,
