discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcomeResp.keys,welcomeResp.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,space,0.8948293850044138,,,,,,,,,,,,,,,,,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,2.2449961230013287,16,1,You got it!,1,32,32,,,,,,,,,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.027569308003876,None,15.027569308003876,None,15.027569308003876,None,space,0.5094339139977819,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.8838146510024671,18,1,You did not get it!,1,32,32,,,,,,,,,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.69164655700297,None,19.69164655700297,None,19.69164655700297,None,space,0.4143183220003266,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
2,0,2,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.8343213800035301,20,1,You got it!,1,32,64,,,,,,,,,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.237971692004066,None,23.237971692004066,None,23.237971692004066,None,space,1.354561198000738,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,2.565112179996504,22,1,You did not get it!,1,32,64,,,,,,,,,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.431473108001228,None,29.431473108001228,None,29.431473108001228,None,space,0.4647009149994119,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.5781686359987361,24,1,You got it!,1,32,96,,,,,,,,,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.76487958300277,None,32.76487958300277,None,32.76487958300277,None,space,0.5169392460011295,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
5,0,5,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,0.9253176049969625,26,1,You got it!,1,32,128,,,,,,,,,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.49370200800331,None,36.49370200800331,None,36.49370200800331,None,space,0.9339095050017931,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
6,0,6,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.5405531509968569,28,1,You got it!,1,28,156,,,,,,,,,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.27933254199888,None,41.27933254199888,None,41.27933254199888,None,space,0.4684601469998597,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
7,0,7,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.8435673150015646,26,1,You got it!,1,26,182,,,,,,,,,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.88843952000025,None,44.88843952000025,None,44.88843952000025,None,space,0.8852928569976939,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
8,0,8,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.470674999000039,24,1,You got it!,1,24,206,,,,,,,,,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.54908096999861,None,49.54908096999861,None,49.54908096999861,None,space,10.530121871997835,,001,2021_фев_22_1600,discounting_block,2020.2.10,59.98088349387028,
