Intro_loop.thisRepN,Intro_loop.thisTrialN,Intro_loop.thisN,Intro_loop.thisIndex,welcomeImage.started,welcomeImage.stopped,slide_changer.keys,slide_changer.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.219178751001891,None,space,0.622486744003254,,001,2021_мар_01_0022,discounting_block,2020.2.10,60.01917096352467,
1,0,1,0,5.966198349997285,None,space,0.37486764899949776,,001,2021_мар_01_0022,discounting_block,2020.2.10,60.01917096352467,
2,0,2,0,6.427336781001941,None,space,0.3800751559974742,,001,2021_мар_01_0022,discounting_block,2020.2.10,60.01917096352467,
3,0,3,0,6.949114071998338,None,space,0.4589238100015791,,001,2021_мар_01_0022,discounting_block,2020.2.10,60.01917096352467,
4,0,4,0,7.498620933001803,None,space,0.3428050130023621,,001,2021_мар_01_0022,discounting_block,2020.2.10,60.01917096352467,
