discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.919719360999807,None,space,0.3270206520001011,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.48724370899981295,16,3,You got it!,3,32,32,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.012731931999951,None,11.012731931999951,None,11.012731931999951,None,space,0.2852612769997904,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.24833984099996087,18,3,You got it!,1,18,50,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.809706030000143,None,13.809706030000143,None,13.809706030000143,None,space,0.3225511240002561,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
2,0,2,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.2997540790001949,16,3,You got it!,3,32,82,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.691792923999856,None,18.691792923999856,None,18.691792923999856,None,space,1.1087161289997312,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.9984968230000959,18,3,You got it!,1,18,0,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,23.060828518000108,None,23.060828518000108,None,23.060828518000108,None,space,0.4409707830000116,space,1.5919023740002558,23.52591997799982,None,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.251574412000082,None,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
4,0,4,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.351695564999773,None,space,1.4840796920002504,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
4,0,4,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.6361559879997003,16,1,You got it!,1,32,32,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7283571009998,None,31.7283571009998,None,31.7283571009998,None,space,0.10876391700003296,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
5,0,5,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.35194034900041515,18,1,You got it!,1,18,50,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.44634370699987,None,34.44634370699987,None,34.44634370699987,None,space,1.1414726009998049,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
6,0,6,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.3992359559997567,16,1,You did not get it!,1,32,50,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.23747317100015,None,38.23747317100015,None,38.23747317100015,None,space,0.7843697399998746,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
7,0,7,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.6827190499998324,17,1,You got it!,1,17,67,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.964485427,None,42.964485427,None,42.964485427,None,space,0.9588440489997083,,,,,,,,,,,,001,2021_мар_10_1407,discounting_block,2020.2.10,60.049945340974546,
