Intro_loop.thisRepN,Intro_loop.thisTrialN,Intro_loop.thisN,Intro_loop.thisIndex,discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcomeImage.started,welcomeImage.stopped,slide_changer.keys,slide_changer.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,5.816031561997079,None,space,9.10376398700464,,,,,,,,,,,,,,,,,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,15.05745664099959,None,space,9.713444745997549,,,,,,,,,,,,,,,,,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,24.87122079799883,None,space,6.602201128000161,,,,,,,,,,,,,,,,,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,31.626832714995544,None,space,7.998843589004537,,,,,,,,,,,,,,,,,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,39.72974619500019,None,space,4.046695402001205,,,,,,,,,,,,,,,,,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,43.93726710900228,None,None,,,,,,,,,,,,,,,,,,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,45.08935650700005,None,None,,,,,,,,,,,,,,,,,,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,52.203504871002224,None,space,6.277154499999597,,,,,,,,,,,,,,,,,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,13.703570287994808,16,1,You got it!,1,32,32,,,,,,,,,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.82832598299865,None,76.82832598299865,None,76.82832598299865,None,space,2.0420437780048815,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
,,,,1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.9466346049957792,18,1,You did not get it!,1,32,32,,,,,,,,,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.06956712099782,None,82.06956712099782,None,82.06956712099782,None,space,1.1013553609955125,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
,,,,2,0,2,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,2.8838322519950452,20,1,You got it!,1,32,64,,,,,,,,,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.35094810799637,None,88.35094810799637,None,88.35094810799637,None,space,0.721868392000033,,001,2021_мар_01_0037,discounting_block,2020.2.10,60.17148898378583,
