discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,3.3016258630000266,None,space,0.5063378049999301,,,,001,2021_мар_06_1420,discounting_block,2020.2.10,60.06147520223447,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,3.880177539000215,None,,001,2021_мар_06_1420,discounting_block,2020.2.10,60.06147520223447,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,001,2021_мар_06_1420,discounting_block,2020.2.10,60.06147520223447,
