discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,welcomeResp.keys,welcomeResp.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,space,1.5816071110020857,,,,,,,,,ax,001,2021_фев_22_1446,discounting_block,2020.2.10,59.742715009404726,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,ax,001,2021_фев_22_1446,discounting_block,2020.2.10,59.742715009404726,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,ax,001,2021_фев_22_1446,discounting_block,2020.2.10,59.742715009404726,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,1,2.1963383670008625,16,1,You got it!,1,32,32,ax,001,2021_фев_22_1446,discounting_block,2020.2.10,59.742715009404726,
