discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.535661333000462,None,space,16.29968716699932,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,21.970447740000054,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,26.10172054099985,None,space,17.471521715000563,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,80.29472521499974,16,3,You got it!,3,32,32,,,,,,,,,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.1446923479998,None,128.1446923479998,None,128.1446923479998,None,space,1.3689211700002488,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1.746381671000563,18,3,You got it!,1,18,50,,,,,,,,,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.54308936899997,None,133.54308936899997,None,133.54308936899997,None,space,0.7218746009993993,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
2,0,2,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,2,0.6974703030000455,16,3,You got it!,1,16,66,,,,,,,,,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.22454064199974,None,137.22454064199974,None,137.22454064199974,None,space,0.013167167000574409,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,2.5810895140002685,14,3,You got it!,1,14,0,,,,,,,,,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,142.09400766100043,None,142.09400766100043,None,142.09400766100043,None,space,1.1404770199997074,space,102.58586366100008,143.25902518899966,None,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,245.97594143900005,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
4,0,4,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,248.07882300999972,None,space,2.0172394159999385,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
4,0,4,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,4.7753332389993375,16,1,You got it!,1,32,32,,,,,,,,,,,,,,001,2021_мар_06_1533,discounting_block,2020.2.10,60.06342938399965,
