discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,text_4.started,text_4.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,2.88911737799981,None,space,0.783904560999872,,,,,,001,2021_мар_06_1415,discounting_block,2020.2.10,59.67680094928357,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,3.7438852959999167,None,,,,001,2021_мар_06_1415,discounting_block,2020.2.10,59.67680094928357,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,4.80738421299975,None,,001,2021_мар_06_1415,discounting_block,2020.2.10,59.67680094928357,
