discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin4.thisRepN,blockbegin4.thisTrialN,blockbegin4.thisN,blockbegin4.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin3.thisRepN,blockbegin3.thisTrialN,blockbegin3.thisN,blockbegin3.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,lan_choose.keys,lan_choose.rt,language_text.started,language_text.stopped,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_6.started,text_6.stopped,text_13.started,text_13.stopped,text_14.started,text_14.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1844819000107236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1816,discounting_block,2021.1.2,59.7157530271165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.590593300003093,None,6.8626660000300035,None,space,9.544174400041811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1816,discounting_block,2021.1.2,59.7157530271165,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,5.026637899980415,16,3,You got it!,3,32,0,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1816,discounting_block,2021.1.2,59.7157530271165,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.69334830000298,None,25.69334830000298,None,25.69334830000298,None,space,2.2976981999818236,,,,,,,,,,,,,,,,001,2021_Mar_22_1816,discounting_block,2021.1.2,59.7157530271165,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,11.75337509997189,18,3,Вы получили M&Ms!,1,18,18,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1816,discounting_block,2021.1.2,59.7157530271165,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.93205380003201,None,41.93205380003201,None,41.93205380003201,None,space,1.083010700007435,,,,,,,,,,,,,,,,001,2021_Mar_22_1816,discounting_block,2021.1.2,59.7157530271165,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,3.2134235999546945,16,3,Вы получили M&Ms!,1,16,34,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1816,discounting_block,2021.1.2,59.7157530271165,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.433288000000175,None,48.433288000000175,None,48.433288000000175,None,space,1.4937460999935865,,,,,,,,,,,,,,,,001,2021_Mar_22_1816,discounting_block,2021.1.2,59.7157530271165,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,2.2272896000067703,14,3,Вы получили M&Ms!,1,14,0,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1816,discounting_block,2021.1.2,59.7157530271165,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,54.33418370003346,None,54.33418370003346,None,54.33418370003346,None,space,1.1127548999502324,space,8.950600999989547,55.504181600001175,None,,,,,,,,,,,,001,2021_Mar_22_1816,discounting_block,2021.1.2,59.7157530271165,
