Intro_loop.thisRepN,Intro_loop.thisTrialN,Intro_loop.thisN,Intro_loop.thisIndex,welcomeImage.started,welcomeImage.stopped,slide_changer.keys,slide_changer.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.324221350994776,None,space,0.7722856190011953,,001,2021_мар_01_0031,discounting_block,2020.2.10,59.92598349992095,
1,0,1,0,6.22867670100095,None,space,0.867060168995522,,001,2021_мар_01_0031,discounting_block,2020.2.10,59.92598349992095,
2,0,2,0,7.188833995998721,None,space,0.2901634739973815,,001,2021_мар_01_0031,discounting_block,2020.2.10,59.92598349992095,
3,0,3,0,7.620628787997703,None,space,0.05839253399608424,,001,2021_мар_01_0031,discounting_block,2020.2.10,59.92598349992095,
4,0,4,0,7.767997224000283,None,space,0.0946600050010602,,001,2021_мар_01_0031,discounting_block,2020.2.10,59.92598349992095,
