discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin4.thisRepN,blockbegin4.thisTrialN,blockbegin4.thisN,blockbegin4.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin3.thisRepN,blockbegin3.thisTrialN,blockbegin3.thisN,blockbegin3.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_6.started,text_6.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.50053449999541,None,59.50053449999541,None,59.50053449999541,None,space,0.4627609000308439,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.4573742999928072,20,1,You got it!,1,32,96,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.60876430000644,None,62.60876430000644,None,62.60876430000644,None,space,2.010571599996183,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.6457954999641515,22,1,You got it!,1,32,128,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.46258539997507,None,68.46258539997507,None,68.46258539997507,None,space,1.2444895999506116,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.8762453999952413,24,1,You got it!,1,32,160,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.78913559997454,None,73.78913559997454,None,73.78913559997454,None,space,0.6703546000062488,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.7248104000464082,25,1,You got it!,1,32,192,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.42695369996363,None,77.42695369996363,None,77.42695369996363,None,space,0.6001272999565117,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.5490465000038967,26,1,You got it!,1,32,224,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,81.77036369999405,None,81.77036369999405,None,81.77036369999405,None,space,3.4408042000140995,space,2.3624470000504516,85.24868079996668,None,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
11,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6436207999941,None,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
11,0,11,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.6796473999857,None,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
11,0,11,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.67762019997463,None,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
11,0,11,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
11,0,11,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.71566479996545,None,space,4.75964840000961,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
