discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.489740327000163,None,space,0.5631517670003632,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.7486476859999129,16,3,You got it!,1,16,16,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.084633243000098,None,9.084633243000098,None,9.084633243000098,None,space,0.5351271360000283,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
1,0,1,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,1.313986150999881,14,3,You did not get it!,3,32,16,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.18738045300006,None,15.18738045300006,None,15.18738045300006,None,space,0.4180912280003213,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
2,0,2,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.7147290909997537,16,3,You got it!,1,16,32,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.59514997999986,None,18.59514997999986,None,18.59514997999986,None,space,0.5436578080002619,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
3,0,3,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.40194585700010066,14,3,You did not get it!,3,32,0,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,23.793062822000138,None,23.793062822000138,None,23.793062822000138,None,space,4.015123510000194,space,1.2603269800001726,27.89738356199996,None,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.292763899999954,None,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
4,0,4,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.408186657999977,None,space,1.0835404490003384,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
4,0,4,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.2715910619999704,16,1,You got it!,1,32,32,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.01907167399986,None,35.01907167399986,None,35.01907167399986,None,space,0.3243546469998364,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
5,0,5,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.1822541669998827,18,1,You got it!,1,18,50,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.78718818000016,None,38.78718818000016,None,38.78718818000016,None,space,0.2572467989998586,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
6,0,6,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.2803159840000262,16,1,You did not get it!,1,32,50,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.57707221800001,None,41.57707221800001,None,41.57707221800001,None,space,0.5010538039996391,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
7,0,7,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.3483308009999746,17,1,You got it!,1,17,67,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.68692920600006,None,44.68692920600006,None,44.68692920600006,None,space,0.5422424990001673,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
8,0,8,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.6332091000003857,16,1,You got it!,1,32,99,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,48.12390137600005,None,48.12390137600005,None,48.12390137600005,None,space,0.6728951280001638,space,3.6611570780000875,48.81995215000006,None,,,,,,,,001,2021_мар_10_1409,discounting_block,2020.2.10,60.039181930343375,
