Intro_loop.thisRepN,Intro_loop.thisTrialN,Intro_loop.thisN,Intro_loop.thisIndex,welcomeImage.started,welcomeImage.stopped,slide_changer.keys,slide_changer.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.1087137360009365,None,space,0.3972770219988888,,001,2021_мар_01_0016,discounting_block,2020.2.10,59.895917906196814,
1,0,1,0,5.633064165005635,None,space,0.4056872969958931,,001,2021_мар_01_0016,discounting_block,2020.2.10,59.895917906196814,
2,0,2,0,6.123452122999879,None,space,0.49849282299692277,,001,2021_мар_01_0016,discounting_block,2020.2.10,59.895917906196814,
3,0,3,0,6.762701936000667,None,space,0.4771001420012908,,001,2021_мар_01_0016,discounting_block,2020.2.10,59.895917906196814,
4,0,4,0,7.3307316200007335,None,space,0.5915471049956977,,001,2021_мар_01_0016,discounting_block,2020.2.10,59.895917906196814,
