discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin4.thisRepN,blockbegin4.thisTrialN,blockbegin4.thisN,blockbegin4.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin3.thisRepN,blockbegin3.thisTrialN,blockbegin3.thisN,blockbegin3.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,lan_choose.keys,lan_choose.rt,language_text.started,language_text.stopped,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.580954000004567,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1801,discounting_block,2021.1.2,60.16995607720869,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.008417700009886,None,9.648670300026424,None,space,1.780999599955976,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1801,discounting_block,2021.1.2,60.16995607720869,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,7.487983099999838,16,3,You got it!,3,32,0,,,,,,,,,,001,2021_Mar_22_1801,discounting_block,2021.1.2,60.16995607720869,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.16979920002632,None,23.16979920002632,None,23.16979920002632,None,space,3.0115072000189684,,001,2021_Mar_22_1801,discounting_block,2021.1.2,60.16995607720869,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,1.6113419000175782,18,3,Вы получили M&Ms!,1,18,18,,,,,,,,,,001,2021_Mar_22_1801,discounting_block,2021.1.2,60.16995607720869,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.012377800012473,None,30.012377800012473,None,30.012377800012473,None,space,2.377062699990347,,001,2021_Mar_22_1801,discounting_block,2021.1.2,60.16995607720869,
