discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8918696750000095,None,space,1.6791821790000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.0592639200000065,16,3,You got it!,3,32,32,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.787724588000003,None,10.787724588000003,None,10.787724588000003,None,space,1.335074818999999,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
1,0,1,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.8932846939999877,18,3,You did not get it!,3,32,32,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.156603937,None,17.156603937,None,17.156603937,None,space,1.751327386000014,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
2,0,2,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.8606166339999959,20,3,You got it!,1,20,52,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.918653368000008,None,21.918653368000008,None,21.918653368000008,None,space,1.207010352999987,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,2.1131962880000117,18,3,You got it!,1,18,0,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,27.387034088999997,None,27.387034088999997,None,27.387034088999997,None,space,1.1228763189999995,space,3.559289856999982,28.534840201999998,None,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.167891843999996,None,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
4,0,4,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.24440142099999,None,space,3.7009002279999947,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
4,0,4,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,2.5186439990000054,16,1,You got it!,1,32,32,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.624235586,None,42.624235586,None,42.624235586,None,space,0.8573734299999956,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
5,0,5,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,1.212282531999989,18,1,You got it!,1,32,64,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.857399593999986,None,46.857399593999986,None,46.857399593999986,None,space,0.7585137050000128,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
6,0,6,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.4435573199999965,20,1,You got it!,1,20,84,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.22473830300001,None,50.22473830300001,None,50.22473830300001,None,space,0.10816404899998133,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
7,0,7,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.35932964200000583,18,1,You got it!,1,32,116,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.859047089,None,52.859047089,None,52.859047089,None,space,0.8581070969999871,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
8,0,8,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.3288094349999824,20,1,You got it!,1,20,136,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.19326581399997,None,56.19326581399997,None,56.19326581399997,None,space,0.12457115699999122,,,,,,,,,,,,001,2021_мар_10_1323,discounting_block,2020.2.10,59.947364774988976,
