lan_choose.keys,lan_choose.rt,language_text.started,language_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1.3757445000228472,,,,001,2021_Mar_22_1738,discounting_block,2021.1.2,59.984871811866114,
,,6.0561360999708995,None,,,,,,,
